complaint_id,labeler_name,complaint_category,created_at
11333660,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:58:31.266880+00:00
11343508,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:01.448264+00:00
11349436,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:17.952577+00:00
11352476,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:11.117706+00:00
11352902,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:31.102031+00:00
11352953,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:53:59.622104+00:00
11384698,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:20.524708+00:00
11385028,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:00.248254+00:00
11386695,google__gemini-2.5-flash,improper_charges,2026-04-25T18:53:48.791408+00:00
11389746,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:22.762587+00:00
11389752,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:56:33.270199+00:00
11389795,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:22.808393+00:00
11391542,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:56:53.335721+00:00
11401223,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:06.385891+00:00
11401851,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:54:53.906640+00:00
11410111,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:12.997177+00:00
11411165,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:14.219610+00:00
11414280,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:17.207954+00:00
11428232,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:26.054653+00:00
11428519,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:09.079512+00:00
11433091,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:19.748601+00:00
11437903,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:07.935768+00:00
11442840,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:44.128658+00:00
11450037,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:26.123441+00:00
11452854,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:49.077554+00:00
11455052,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:01.886016+00:00
11455678,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:19.520758+00:00
11465631,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:35.630872+00:00
11466371,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:41.477608+00:00
11466600,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:41.713384+00:00
11468296,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:24.161249+00:00
11471832,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:37.465562+00:00
11472493,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:39.192123+00:00
11479617,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:39.413480+00:00
11498537,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:44.202774+00:00
11503359,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:20.056943+00:00
11519020,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:55:41.410201+00:00
11522131,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:54:01.600420+00:00
11551907,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:04.067744+00:00
11575022,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:54.870614+00:00
11593109,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:34.732732+00:00
11596070,google__gemini-2.5-flash,improper_process,2026-04-25T18:58:02.767566+00:00
11601734,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:45.462162+00:00
11634807,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:23.213763+00:00
11638311,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:23.431885+00:00
11651442,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:15.801483+00:00
11653905,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:43.902357+00:00
11682130,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:01.115056+00:00
11685621,google__gemini-2.5-flash,improper_process,2026-04-25T18:53:54.242334+00:00
11691460,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:22.513116+00:00
11706286,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:30.589682+00:00
11707658,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:17.832388+00:00
11716590,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:31.829166+00:00
11718118,google__gemini-2.5-flash,improper_process,2026-04-25T18:53:53.230382+00:00
11720286,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:56:08.510193+00:00
11720589,google__gemini-2.5-flash,improper_process,2026-04-25T18:58:04.223358+00:00
11727292,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:13.187246+00:00
11731528,google__gemini-2.5-flash,improper_process,2026-04-25T18:53:48.890630+00:00
11742198,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:33.185469+00:00
11742235,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:14.287457+00:00
11767791,google__gemini-2.5-flash,improper_charges,2026-04-25T18:53:58.729737+00:00
11774684,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:46.354223+00:00
11791676,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:30.511469+00:00
11796802,google__gemini-2.5-flash,improper_process,2026-04-25T18:58:10.846846+00:00
11802320,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:53.460175+00:00
11809341,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:51.228100+00:00
11822134,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:00.277698+00:00
11823240,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:40.236675+00:00
11824367,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:01.054397+00:00
11826614,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:57:43.415385+00:00
11832565,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:00.057520+00:00
11848481,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:33.035298+00:00
11856132,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:16.569182+00:00
11868297,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:18.440494+00:00
11869185,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:55.059761+00:00
11870784,google__gemini-2.5-flash,improper_process,2026-04-25T18:55:11.986808+00:00
11871327,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:58:27.386361+00:00
11874614,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:10.093241+00:00
11889682,google__gemini-2.5-flash,improper_process,2026-04-25T18:57:50.740444+00:00
11893799,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:45.847364+00:00
11911670,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:59.968508+00:00
11913076,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:34.348762+00:00
11914519,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:05.438442+00:00
11916711,google__gemini-2.5-flash,improper_charges,2026-04-25T18:58:09.374995+00:00
11924703,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:52.235036+00:00
11930190,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:58:01.747652+00:00
11931735,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:57:08.506782+00:00
11941304,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:42.382513+00:00
11944490,google__gemini-2.5-flash,improper_process,2026-04-25T18:58:01.181605+00:00
11951733,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:57.286964+00:00
11964312,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:17.278402+00:00
11966657,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:15.807082+00:00
11972763,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:31.747834+00:00
11976040,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:55.650164+00:00
11976464,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:55:46.761849+00:00
11981359,google__gemini-2.5-flash,improper_charges,2026-04-25T18:57:42.837109+00:00
11994823,google__gemini-2.5-flash,improper_process,2026-04-25T18:58:24.641895+00:00
12000232,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:04.225538+00:00
12003464,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:54:12.447751+00:00
12013129,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:24.703779+00:00
12017829,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:57:21.325795+00:00
12019568,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:38.695208+00:00
12019692,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:15.598356+00:00
12021298,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:47.586501+00:00
12022499,google__gemini-2.5-flash,improper_process,2026-04-25T18:56:58.092840+00:00
12023953,google__gemini-2.5-flash,improper_charges,2026-04-25T18:53:49.235227+00:00
12028578,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:35.726999+00:00
12038412,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:45.336283+00:00
12051412,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:58:12.799459+00:00
12054372,google__gemini-2.5-flash,improper_charges,2026-04-25T18:55:54.941522+00:00
12059449,google__gemini-2.5-flash,deceptive_discriminatory,2026-04-25T18:55:21.792956+00:00
12071097,google__gemini-2.5-flash,improper_charges,2026-04-25T18:56:03.244670+00:00
12090909,google__gemini-2.5-flash,improper_charges,2026-04-25T18:53:49.740330+00:00
12100609,google__gemini-2.5-flash,improper_charges,2026-04-25T18:54:19.430438+00:00
12102243,google__gemini-2.5-flash,improper_process,2026-04-25T18:54:52.063286+00:00
