complaint_id,labeler_name,unfairness_type,justice_violation,severity,created_at
11333660,google__gemini-2.5-flash,,,,2026-04-24T02:20:07.489801+00:00
11343508,google__gemini-2.5-flash,,,,2026-04-24T02:20:03.839884+00:00
11349436,google__gemini-2.5-flash,,,,2026-04-24T02:19:47.443255+00:00
11352476,google__gemini-2.5-flash,,,,2026-04-24T02:19:21.215505+00:00
11352902,google__gemini-2.5-flash,,,,2026-04-24T02:20:53.521249+00:00
11352953,google__gemini-2.5-flash,,,,2026-04-24T02:20:16.812655+00:00
11384698,google__gemini-2.5-flash,,,,2026-04-24T02:20:13.767428+00:00
11385028,google__gemini-2.5-flash,,,,2026-04-24T02:20:03.807540+00:00
11386695,google__gemini-2.5-flash,,,,2026-04-24T02:18:44.754929+00:00
11389746,google__gemini-2.5-flash,,,,2026-04-24T02:19:01.433853+00:00
11389752,google__gemini-2.5-flash,,,,2026-04-24T02:19:01.422860+00:00
11389795,google__gemini-2.5-flash,,,,2026-04-24T02:19:04.681798+00:00
11391542,google__gemini-2.5-flash,,,,2026-04-24T02:19:11.075567+00:00
11401223,google__gemini-2.5-flash,,,,2026-04-24T02:21:02.770350+00:00
11401851,google__gemini-2.5-flash,,,,2026-04-24T02:20:40.514022+00:00
11410111,google__gemini-2.5-flash,,,,2026-04-24T02:20:46.398963+00:00
11411165,google__gemini-2.5-flash,,,,2026-04-24T02:20:00.564075+00:00
11414280,google__gemini-2.5-flash,,,,2026-04-24T02:19:54.353002+00:00
11428232,google__gemini-2.5-flash,,,,2026-04-24T02:19:43.913524+00:00
11428519,google__gemini-2.5-flash,,,,2026-04-24T02:20:20.488050+00:00
11433091,google__gemini-2.5-flash,,,,2026-04-24T02:19:34.344264+00:00
11437903,google__gemini-2.5-flash,,,,2026-04-24T02:20:40.120110+00:00
11442840,google__gemini-2.5-flash,,,,2026-04-24T02:19:07.812025+00:00
11450037,google__gemini-2.5-flash,,,,2026-04-24T02:20:10.306042+00:00
11452854,google__gemini-2.5-flash,,,,2026-04-24T02:20:23.632081+00:00
11455052,google__gemini-2.5-flash,,,,2026-04-24T02:19:27.322312+00:00
11455678,google__gemini-2.5-flash,,,,2026-04-24T02:20:03.849914+00:00
11465631,google__gemini-2.5-flash,,,,2026-04-24T02:20:56.919700+00:00
11466371,google__gemini-2.5-flash,,,,2026-04-24T02:19:53.523213+00:00
11466600,google__gemini-2.5-flash,,,,2026-04-24T02:19:53.954813+00:00
11468296,google__gemini-2.5-flash,,,,2026-04-24T02:20:16.962609+00:00
11471832,google__gemini-2.5-flash,,,,2026-04-24T02:20:39.885690+00:00
11472493,google__gemini-2.5-flash,,,,2026-04-24T02:20:07.108526+00:00
11479617,google__gemini-2.5-flash,,,,2026-04-24T02:19:11.262260+00:00
11498537,google__gemini-2.5-flash,,,,2026-04-24T02:19:20.796122+00:00
11503359,google__gemini-2.5-flash,,,,2026-04-24T02:18:58.155502+00:00
11519020,google__gemini-2.5-flash,,,,2026-04-24T02:21:23.090409+00:00
11522131,google__gemini-2.5-flash,,,,2026-04-24T02:19:50.731380+00:00
11551907,google__gemini-2.5-flash,,,,2026-04-24T02:19:37.598811+00:00
11575022,google__gemini-2.5-flash,,,,2026-04-24T02:21:22.251155+00:00
11593109,google__gemini-2.5-flash,,,,2026-04-24T02:20:26.901060+00:00
11596070,google__gemini-2.5-flash,,,,2026-04-24T02:19:47.193526+00:00
11601734,google__gemini-2.5-flash,,,,2026-04-24T02:20:00.786974+00:00
11634807,google__gemini-2.5-flash,,,,2026-04-24T02:20:50.101101+00:00
11638311,google__gemini-2.5-flash,,,,2026-04-24T02:21:16.476901+00:00
